sha1	canonical_title	canonical_rom_name	dat_source	size	crc32	md5	mister_system	mister_core	expected_folder	region	release_type	license_status
61fada9c94a7a834edf0567f12a90d336611a9c7	Alien 3 (USA) (Beta 2)	Alien 3 (USA) (Beta 2).sfc	Nintendo - Super Nintendo Entertainment System	1048576	77713c95	15b31e37ab766c440d6bc407fb4ba3e4	SNES	SNES	SNES	USA	Prototype/Beta/Demo	Special/Non-retail
61fc645024d61ead7526b971e507a1786b358f68	Serious Sam Advance (USA) (En,Fr,De)	Serious Sam Advance (USA) (En,Fr,De).gba	Nintendo - Game Boy Advance	8388608	fdf4eca7	327f1553f9c9bc510069d9eaabb0f6fb	GBA	GBA	GBA	USA	Retail/Standard	Licensed/Official
61fcaf303709f87df7ab1ae9a225b9934c9d2704	Mega Man 2 (World) (Mega Man Legacy Collection)	Mega Man 2 (World) (Mega Man Legacy Collection).nes	Nintendo - Nintendo Entertainment System (Headered)	262160	4072a491	8d2bd80a536a628725f56de750fa3aa9	NES	NES	NES	World	Retail/Standard	Licensed/Official
61fe27a4ce83bc6d9dba5d4d0652e83dbec45e6e	Booby Boys (Japan)	Booby Boys (Japan).gb	Nintendo - Game Boy	262144	ec83c0b6	d17aa3dd0a52bc3dc03bfe20f27c8b07	GAMEBOY	Gameboy	GAMEBOY	Japan	Retail/Standard	Licensed/Official
621454564f7c494b6953be2066d73641096c84f1	Arkanoid (Europe)	Arkanoid (Europe).sfc	Nintendo - Super Nintendo Entertainment System	524288	d436489b	06effcf7fd688f89e63e83ae2369d1c5	SNES	SNES	SNES	Europe	Retail/Standard	Licensed/Official
621503750312871d5ef9c778d972cd84c125d921	Rockman (Russia) (Pirate)	Rockman (Russia) (Pirate).nes	Nintendo - Nintendo Entertainment System (Headered)	131088	4136800e	950dcb26688091d08a784a8cb270b49b	NES	NES	NES	Unknown	Retail/Standard	Licensed/Official
621571759c021b564339efdc969d9bcef4c908dc	Dragon Ball Z - I Leggendari Super Guerrieri (Italy) (Beta) (All Unlocked)	Dragon Ball Z - I Leggendari Super Guerrieri (Italy) (Beta) (All Unlocked).gbc	Nintendo - Game Boy Color	2097152	35790637	a7edd8b2fc42450a4ee4874fa67c24de	GBC	GBC	GBC	Unknown	Prototype/Beta/Demo	Special/Non-retail
621a2f95b4884cdc3d3f7a97de9c4e8b4b0c31c0	Final Fantasy IV Advance (Japan) (Rev 1)	Final Fantasy IV Advance (Japan) (Rev 1).gba	Nintendo - Game Boy Advance	8388608	80f1133b	002dc5540ec997b98c1e8d29d3abfe24	GBA	GBA	GBA	Japan	Revision	Licensed/Official
621fbbf05beb269e00747d133bf644f9be1eecad	Xiao Mali (Asia) (En) (1996) (Pirate)	Xiao Mali (Asia) (En) (1996) (Pirate).nes	Nintendo - Nintendo Entertainment System (Headered)	24592	da92c09a	ef51f9307fb70902b092efa9535f4e3f	NES	NES	NES	Unknown	Retail/Standard	Licensed/Official
62298489faf7a482af33be307631d7ff5d9003f6	Chip 'n Dale - Rescue Rangers 2 (USA)	Chip 'n Dale - Rescue Rangers 2 (USA).unh	Nintendo - Nintendo Entertainment System (Headerless)	262144	fc5783a7	71e7ef754a716ced5b306a1e5b6e93c1	NES	NES	NES	USA	Retail/Standard	Licensed/Official
622a64fefc2c52096440a21defea4648f3bbe92e	Rockman EXE 4 - Kaizou Card - Part 2 - 134-D029 (Japan)	Rockman EXE 4 - Kaizou Card - Part 2 - 134-D029 (Japan).raw	Nintendo - Game Boy Advance (e-Reader)	2912	a8cce8a5	d894552831d4e6ccd2693bed04c1d4d5	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
622c57e2354599adb0b070600468364a32886488	Spelunker II - Yuusha e no Chousen (Japan)	Spelunker II - Yuusha e no Chousen (Japan).nes	Nintendo - Nintendo Entertainment System (Headered)	131088	67b12eb4	e6f3debd3638beba235c0e68fc82663d	NES	NES	NES	Japan	Retail/Standard	Licensed/Official
622d71a44da0b81ea68092cac9198c66154a4f4a	Rocket - Robot on Wheels (USA)	Rocket - Robot on Wheels (USA).z64	Nintendo - Nintendo 64 (BigEndian)	12582912	e0399f23	c2907eb2f9a350793317ece878a3b8e3	N64	N64	N64	USA	Retail/Standard	Licensed/Official
622edfe3a7b2c65724c2d78fb3d692775cd1fde1	Zero the Kamikaze Squirrel (USA)	Zero the Kamikaze Squirrel (USA).sfc	Nintendo - Super Nintendo Entertainment System	2097152	5397d5bc	7981be58e5eec603c585a0f1a3190840	SNES	SNES	SNES	USA	Retail/Standard	Licensed/Official
6230486bb3653b5b3936671695d955b9a5c78bf4	Jingorou (Japan) (Unl)	Jingorou (Japan) (Unl).fds	Nintendo - Family Computer Disk System (FDS)	65500	72a0bd81	3536c5a5569fbbc8ee92303b26265122	NES	NES	NES	Japan	Homebrew/Unlicensed	Unlicensed
62342bda0fb0654f381417782f85dbbe81e2bd28	Little Red Hood - Xiao Hong Mao (Taiwan) (En) (Unl)	Little Red Hood - Xiao Hong Mao (Taiwan) (En) (Unl).unh	Nintendo - Nintendo Entertainment System (Headerless)	40960	0c1fe23d	8e1652a48d0476108facc2d3b156da2a	NES	NES	NES	Unknown	Homebrew/Unlicensed	Unlicensed
623f9647e0622992c425b3219a5f6bf93b532a21	Rockman Zero 3 - Kaizou Card - Part 1 - 135-A005 (Japan)	Rockman Zero 3 - Kaizou Card - Part 1 - 135-A005 (Japan).raw	Nintendo - Game Boy Advance (e-Reader)	2912	3d9e1d9c	d594d5f568f531ee86a2deed5c0f3989	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
624157219bef246d484ab4738662e4eb4e7de308	Pink Panther - Pinkadelic Pursuit (Europe) (En,Fr,De,Es,It)	Pink Panther - Pinkadelic Pursuit (Europe) (En,Fr,De,Es,It).gba	Nintendo - Game Boy Advance	8388608	8859b808	9bf9cd93bf32f6f6661b266e8adf9f2e	GBA	GBA	GBA	Europe	Retail/Standard	Licensed/Official
62458641693282db626bc8e4c7dac618733a829c	Tuidaohu Mahjong (Asia) (J.Y. Company) (Pirate)	Tuidaohu Mahjong (Asia) (J.Y. Company) (Pirate).nes	Nintendo - Nintendo Entertainment System (Headered)	65552	7be9ec77	40270776fb02e7d20f0d922c5eb4000c	NES	NES	NES	Unknown	Retail/Standard	Licensed/Official
624592fc5e8725ed32e006e48e450ef544c50d88	Tetris (Russia) (En) (Pirate)	Tetris (Russia) (En) (Pirate).unh	Nintendo - Nintendo Entertainment System (Headerless)	40960	40c0815b	978bb41b092945c97d5785a3e52546b0	NES	NES	NES	Unknown	Retail/Standard	Licensed/Official
624727a9d94bfca50257d9543a28052a1bb937ab	SD Battle Oozumou - Heisei Hero Basho (Japan)	SD Battle Oozumou - Heisei Hero Basho (Japan).nes	Nintendo - Nintendo Entertainment System (Headered)	262160	5c33db76	b8d7512be7057df40d1c27f11839c236	NES	NES	NES	Japan	Retail/Standard	Licensed/Official
6249d626f41363bb05b7a4e969558cf0b69b652f	Pokemon 2000 (Asia) (Ja) (Pirate)	Pokemon 2000 (Asia) (Ja) (Pirate).nes	Nintendo - Nintendo Entertainment System (Headered)	262160	686c0482	f3817208186feaac749e8b59ebe48934	NES	NES	NES	Unknown	Retail/Standard	Licensed/Official
624c0220c2c8ec5bb122ff2cdc221645dc7e217b	Memory Dumps - Animal Crossing-e (USA)	Animal Crossing-e - Series 2 - Pikmin Pattern (USA).sav	Nintendo - Game Boy Advance (e-Reader)	131072	c2c5921f	3e2ac1c631021143831a5930792ff82d	GBA	GBA	GBA	USA	Retail/Standard	Licensed/Official
624ef2724c90d1ec9dca66d522fbc17fdf6523e7	Pokemon Battle Card-e+ - FireRed & LeafGreen - 15-A009 (Japan)	Pokemon Battle Card-e+ - FireRed & LeafGreen - 15-A009 (Japan).raw	Nintendo - Game Boy Advance (e-Reader)	2912	a08fc7ec	3af267680ac24812acff208089d898e8	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
625106a432b81a9009e125ddce04f00b2f4d03a7	F-Zero - Falcon Densetsu Card-e+ - Pillow Pack - 14-F011 (Japan)	F-Zero - Falcon Densetsu Card-e+ - Pillow Pack - 14-F011 (Japan) (Strip 1).raw	Nintendo - Game Boy Advance (e-Reader)	2912	7ee97d7c	eb223ed1ac27b00283c01c81832b3f0b	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
